         579501182 function calls (575881116 primitive calls) in 278.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  280.856  280.856 {built-in method builtins.exec}
        1    0.012    0.012  280.856  280.856 <string>:1(<module>)
        1    0.005    0.005  280.844  280.844 generator.py:104(gen_schema)
    86645    0.671    0.000  250.696    0.003 generator.py:306(gen_class)
       87    0.143    0.002  250.662    2.881 generator.py:137(<dictcomp>)
   456195    9.301    0.000  114.815    0.000 <string>:2(__init__)
    89753    0.148    0.000   77.628    0.001 generator.py:173(get_super_class)
    89753   66.611    0.001   76.774    0.001 generator.py:176(_go)
91842093/88234399   49.951    0.000   69.254    0.000 _jsonobj.py:162(__setattr__)
    86645    0.283    0.000   64.033    0.001 generator.py:311(<dictcomp>)
   241258    1.404    0.000   63.713    0.000 generator.py:238(gen_slot_from_attr)
   456195    6.988    0.000   63.169    0.000 meta.py:2090(__post_init__)
   214937    1.203    0.000   56.222    0.000 generator.py:269(gen_slot_from_relation)
   560691    1.790    0.000   54.484    0.000 meta.py:829(__post_init__)
   560692   10.524    0.000   51.592    0.000 meta.py:366(__post_init__)
  3712626    3.598    0.000   46.819    0.000 yamlutils.py:104(_normalize_inlined_as_dict)
  3712626   13.992    0.000   43.221    0.000 yamlutils.py:107(_normalize_inlined)
    86645   12.754    0.000   41.665    0.000 generator.py:324(<dictcomp>)
    86645   12.847    0.000   40.845    0.000 generator.py:316(<dictcomp>)
       87    0.024    0.000   24.170    0.278 generator.py:144(<dictcomp>)
    17851    0.069    0.000   24.154    0.001 generator.py:154(gen_enum)
    17851    0.404    0.000   19.844    0.001 generator.py:162(<dictcomp>)
    86645    1.410    0.000   18.062    0.000 meta.py:2425(__post_init__)
11137879/11137878    5.071    0.000   13.721    0.000 typing.py:352(inner)
  3015752    2.772    0.000   13.101    0.000 _jsonobj.py:44(__init__)
   136182    2.455    0.000   12.779    0.000 meta.py:3646(__post_init__)
161802117   11.142    0.000   11.142    0.000 {built-in method builtins.isinstance}
165434797   10.236    0.000   10.236    0.000 uml_model.py:150(by_id)
  3015752    4.334    0.000    9.758    0.000 _jsonobj.py:79(_init_from_dict)
   696874    0.821    0.000    7.805    0.000 metamodelcore.py:102(__init__)
  4306308    5.020    0.000    6.784    0.000 _jsonobj.py:145(__getitem__)
       87    0.000    0.000    4.844    0.056 generator.py:60(_gen_class_deps)
  3108/87    0.126    0.000    4.842    0.056 generator.py:69(_go_deps)
  7425253    3.980    0.000    4.757    0.000 typing.py:1669(__hash__)
  1393747    0.964    0.000    4.740    0.000 metamodelcore.py:107(is_valid)
  3015752    1.035    0.000    4.367    0.000 extendednamespace.py:7(__init__)
   696874    0.796    0.000    3.900    0.000 metamodelcore.py:74(__init__)
  3712642    3.589    0.000    3.892    0.000 typing.py:1664(__eq__)
  1393749    0.817    0.000    3.682    0.000 uri_validator.py:344(validate_uri)
  3607694    2.290    0.000    3.579    0.000 _jsonobj.py:127(_items)
  4056894    1.017    0.000    3.390    0.000 {built-in method builtins.setattr}
  3712626    2.167    0.000    2.955    0.000 _jsonobj.py:26(__new__)
  1393749    2.865    0.000    2.865    0.000 {method 'match' of 're.Pattern' objects}
    17851    0.123    0.000    2.657    0.000 meta.py:947(__post_init__)
   696874    0.351    0.000    2.592    0.000 generator.py:43(gen_curie)
  6246441    1.597    0.000    2.472    0.000 _jsonobj.py:85(_hide_list)
  1916914    2.027    0.000    2.303    0.000 yamlutils.py:334(__init__)
   696874    0.660    0.000    2.240    0.000 parse.py:841(quote)
 13783438    1.962    0.000    1.962    0.000 extendednamespace.py:16(__contains__)
     3108    1.713    0.001    1.715    0.001 generator.py:218(get_rel_type_classes)
   591942    0.388    0.000    1.531    0.000 yamlutils.py:129(order_up)
  1257567    0.654    0.000    1.509    0.000 yamlutils.py:96(_is_empty)
   696874    0.926    0.000    1.389    0.000 parse.py:917(quote_from_bytes)
  3015752    1.050    0.000    1.222    0.000 _jsonobj.py:304(items)
    90014    0.978    0.000    0.978    0.000 {method 'update' of 'dict' objects}
  1257567    0.566    0.000    0.855    0.000 formatutils.py:112(is_empty)
7527694/7518345    0.807    0.000    0.810    0.000 {built-in method builtins.hash}
  1393750    0.609    0.000    0.789    0.000 strictness.py:32(is_strict)
  4306308    0.712    0.000    0.712    0.000 extendednamespace.py:19(__getitem__)
   214937    0.256    0.000    0.686    0.000 _jsonobj.py:165(__bool__)
  3712626    0.647    0.000    0.647    0.000 extendednamespace.py:22(__setitem__)
  3015752    0.561    0.000    0.619    0.000 _jsonobj.py:83(<dictcomp>)
    89840    0.182    0.000    0.588    0.000 functools.py:479(lru_cache)
  3712626    0.569    0.000    0.569    0.000 {built-in method __new__ of type object at 0x76796a271a40}
  6031504    0.450    0.000    0.450    0.000 {method 'items' of 'dict' objects}
    89840    0.213    0.000    0.380    0.000 functools.py:35(update_wrapper)
   214937    0.071    0.000    0.358    0.000 {built-in method builtins.any}
  4306308    0.356    0.000    0.356    0.000 _jsonobj.py:75(_if_missing)
   429874    0.221    0.000    0.326    0.000 _jsonobj.py:121(_keys)
   912390    0.198    0.000    0.249    0.000 metamodelcore.py:205(__new__)
  1393748    0.214    0.000    0.214    0.000 {method 'encode' of 'str' objects}
  1393750    0.180    0.000    0.180    0.000 strictness.py:8(__bool__)
   696874    0.175    0.000    0.175    0.000 {method 'rstrip' of 'bytes' objects}
    93092    0.091    0.000    0.125    0.000 <string>:2(__hash__)
   696874    0.112    0.000    0.112    0.000 yamlutils.py:44(__post_init__)
   695830    0.112    0.000    0.112    0.000 {method 'decode' of 'bytes' objects}
  1396258    0.107    0.000    0.107    0.000 generator.py:34(gen_safe_name)
   628880    0.093    0.000    0.093    0.000 {built-in method builtins.getattr}
   134349    0.080    0.000    0.080    0.000 generator.py:16(map_primitive_data_type)
   456195    0.079    0.000    0.079    0.000 generator.py:261(_slot_required)
  1076726    0.075    0.000    0.075    0.000 generator.py:39(convert_camel_to_snake)
   560692    0.067    0.000    0.067    0.000 meta.py:412(<listcomp>)
   560692    0.065    0.000    0.065    0.000 meta.py:389(<listcomp>)
   560692    0.064    0.000    0.064    0.000 meta.py:416(<listcomp>)
   560692    0.063    0.000    0.063    0.000 meta.py:393(<listcomp>)
   560691    0.062    0.000    0.062    0.000 meta.py:841(<listcomp>)
   456195    0.062    0.000    0.062    0.000 meta.py:2146(<listcomp>)
   560692    0.062    0.000    0.062    0.000 meta.py:374(<listcomp>)
   560692    0.062    0.000    0.062    0.000 meta.py:460(<listcomp>)
   560692    0.061    0.000    0.061    0.000 meta.py:464(<listcomp>)
   560692    0.061    0.000    0.061    0.000 meta.py:420(<listcomp>)
   560691    0.060    0.000    0.060    0.000 meta.py:845(<listcomp>)
   560692    0.059    0.000    0.059    0.000 meta.py:428(<listcomp>)
   560692    0.059    0.000    0.059    0.000 meta.py:468(<listcomp>)
   560692    0.058    0.000    0.058    0.000 meta.py:444(<listcomp>)
   560691    0.058    0.000    0.058    0.000 meta.py:849(<listcomp>)
   560692    0.057    0.000    0.057    0.000 meta.py:472(<listcomp>)
   560692    0.057    0.000    0.057    0.000 meta.py:424(<listcomp>)
   560692    0.056    0.000    0.056    0.000 meta.py:454(<listcomp>)
   591942    0.056    0.000    0.056    0.000 {method 'add' of 'set' objects}
   560692    0.056    0.000    0.056    0.000 meta.py:476(<listcomp>)
   456195    0.055    0.000    0.055    0.000 generator.py:265(_slot_multivalued)
   560692    0.055    0.000    0.055    0.000 meta.py:480(<listcomp>)
   560692    0.054    0.000    0.054    0.000 meta.py:487(<listcomp>)
   560692    0.054    0.000    0.054    0.000 meta.py:506(<listcomp>)
   560692    0.053    0.000    0.053    0.000 meta.py:510(<listcomp>)
   456195    0.052    0.000    0.052    0.000 meta.py:2290(<listcomp>)
   456195    0.051    0.000    0.051    0.000 meta.py:2204(<listcomp>)
   456195    0.051    0.000    0.051    0.000 meta.py:2302(<listcomp>)
   456195    0.050    0.000    0.050    0.000 meta.py:2265(<listcomp>)
   456195    0.050    0.000    0.050    0.000 meta.py:2294(<listcomp>)
