         313532049 function calls (312838991 primitive calls) in 114.626 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  114.648  114.648 {built-in method builtins.exec}
        1    0.013    0.013  114.648  114.648 <string>:1(<module>)
        1    0.000    0.000  114.635  114.635 __init__.py:21(main)
        1    3.700    3.700  106.415  106.415 generator.py:104(gen_schema)
  1652766    6.014    0.000   85.554    0.000 generator.py:301(gen_class)
 13543319    4.705    0.000   36.110    0.000 generator.py:43(gen_curie)
  1652766    3.672    0.000   32.985    0.000 generator.py:304(<dictcomp>)
 13543319    8.758    0.000   31.404    0.000 parse.py:841(quote)
  4578622   12.455    0.000   28.701    0.000 generator.py:235(gen_slot_from_attr)
  3909870   10.032    0.000   23.023    0.000 generator.py:264(gen_slot_from_relation)
 13543319   13.045    0.000   20.310    0.000 parse.py:917(quote_from_bytes)
  1658009    1.656    0.000   14.935    0.000 generator.py:169(get_super_class)
   401689    0.577    0.000   13.542    0.000 generator.py:150(gen_enum)
  1652766    1.814    0.000   13.322    0.000 generator.py:317(<dictcomp>)
  1652766    1.622    0.000   13.137    0.000 generator.py:309(<dictcomp>)
   401689    3.831    0.000   11.937    0.000 generator.py:158(<dictcomp>)
        1    0.000    0.000    8.050    8.050 __init__.py:248(dump)
        1    0.032    0.032    8.050    8.050 __init__.py:215(dump_all)
        1    0.001    0.001    8.018    8.018 representer.py:26(represent)
  1659542    2.027    0.000    7.912    0.000 functools.py:479(lru_cache)
        1    0.015    0.015    7.384    7.384 serializer.py:46(serialize)
 168507/1    0.572    0.000    7.250    7.250 serializer.py:78(serialize_node)
   184657    0.255    0.000    6.316    0.000 emitter.py:111(emit)
  1659542    3.256    0.000    5.460    0.000 functools.py:35(update_wrapper)
   168507    0.291    0.000    3.841    0.000 emitter.py:232(expect_node)
  1658009    2.980    0.000    3.733    0.000 generator.py:172(_go)
     1532    0.004    0.000    3.391    0.002 generator.py:60(_gen_class_deps)
5243/1532    0.244    0.000    3.376    0.002 generator.py:69(_go_deps)
     5243    3.057    0.001    3.059    0.001 generator.py:215(get_rel_type_classes)
    84253    0.076    0.000    3.016    0.000 emitter.py:409(expect_block_mapping_simple_value)
 47204778    2.932    0.000    2.932    0.000 {built-in method builtins.isinstance}
 27086638    2.787    0.000    2.787    0.000 {method 'encode' of 'str' objects}
 13543319    2.651    0.000    2.651    0.000 {method 'rstrip' of 'bytes' objects}
   100311    0.126    0.000    2.650    0.000 emitter.py:395(expect_block_mapping_key)
   152361    1.616    0.000    1.937    0.000 emitter.py:626(analyze_scalar)
   152361    0.160    0.000    1.896    0.000 emitter.py:266(expect_scalar)
 27161012    1.752    0.000    1.752    0.000 generator.py:34(gen_safe_name)
  1663495    1.213    0.000    1.649    0.000 <string>:2(__hash__)
   152361    0.136    0.000    1.624    0.000 emitter.py:515(process_scalar)
 13493818    1.557    0.000    1.557    0.000 {method 'decode' of 'bytes' objects}
   168507    0.136    0.000    1.545    0.000 emitter.py:469(process_tag)
 18165731    1.540    0.000    1.540    0.000 uml_model.py:150(by_id)
   152361    0.144    0.000    1.398    0.000 emitter.py:494(choose_scalar_style)
    84253    0.224    0.000    1.360    0.000 emitter.py:437(check_simple_key)
 21194750    1.293    0.000    1.293    0.000 generator.py:39(convert_camel_to_snake)
   149381    0.975    0.000    1.225    0.000 emitter.py:1080(write_plain)
 11616794    1.109    0.000    1.109    0.000 {built-in method builtins.getattr}
  2451728    1.022    0.000    1.022    0.000 generator.py:16(map_primitive_data_type)
  8488492    0.976    0.000    0.976    0.000 generator.py:256(_slot_required)
  8297707    0.857    0.000    0.857    0.000 {built-in method builtins.setattr}
  8488492    0.854    0.000    0.854    0.000 generator.py:260(_slot_multivalued)
  5268263    0.721    0.000    0.721    0.000 {method 'get' of 'dict' objects}
 168507/1    0.126    0.000    0.632    0.632 representer.py:33(represent_data)
  16146/1    0.006    0.000    0.632    0.632 representer.py:206(represent_dict)
  16146/1    0.110    0.000    0.632    0.632 representer.py:103(represent_mapping)
    16058    0.005    0.000    0.544    0.000 emitter.py:392(expect_first_block_mapping_key)
 11862927    0.532    0.000    0.532    0.000 {built-in method builtins.len}
1824579/1673040    0.401    0.000    0.440    0.000 {built-in method builtins.hash}
    84253    0.306    0.000    0.409    0.000 emitter.py:580(prepare_tag)
  4595461    0.398    0.000    0.398    0.000 uml_model.py:154(by_name)
   369314    0.169    0.000    0.350    0.000 emitter.py:120(need_more_events)
  3310775    0.346    0.000    0.346    0.000 uml_model.py:186(by_source_id)
   320868    0.205    0.000    0.250    0.000 resolver.py:143(resolve)
   132202    0.033    0.000    0.249    0.000 representer.py:147(represent_str)
     2386    0.182    0.000    0.239    0.000 emitter.py:926(write_double_quoted)
  1659542    0.239    0.000    0.239    0.000 {method 'update' of 'dict' objects}
   152361    0.200    0.000    0.232    0.000 representer.py:77(represent_scalar)
    49501    0.136    0.000    0.212    0.000 parse.py:935(<listcomp>)
    93912    0.091    0.000    0.175    0.000 emitter.py:814(write_indent)
  1652766    0.172    0.000    0.172    0.000 uml_model.py:190(by_dest_id)
  1659541    0.143    0.000    0.143    0.000 {built-in method builtins.callable}
        1    0.028    0.028    0.131    0.131 __init__.py:31(<dictcomp>)
 168507/1    0.099    0.000    0.120    0.120 serializer.py:60(anchor_node)
    61015    0.078    0.000    0.110    0.000 emitter.py:133(need_events)
     1947    0.010    0.000    0.103    0.000 parser.py:99(parse_uml_class)
   168507    0.088    0.000    0.099    0.000 emitter.py:146(increase_indent)
    90389    0.075    0.000    0.089    0.000 emitter.py:800(write_indicator)
   168507    0.067    0.000    0.089    0.000 representer.py:136(ignore_aliases)
    11492    0.007    0.000    0.077    0.000 parser.py:110(<genexpr>)
  1591741    0.075    0.000    0.076    0.000 {method '__getitem__' of 'dict' objects}
    93911    0.065    0.000    0.074    0.000 emitter.py:827(write_line_break)
     9545    0.035    0.000    0.069    0.000 parser.py:80(parse_uml_class_attr)
   660908    0.065    0.000    0.065    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   473277    0.065    0.000    0.065    0.000 {method 'startswith' of 'str' objects}
   706323    0.058    0.000    0.058    0.000 {method 'append' of 'list' objects}
   151539    0.039    0.000    0.052    0.000 enum.py:1224(__hash__)
   152361    0.051    0.000    0.051    0.000 emitter.py:18(__init__)
   152361    0.046    0.000    0.046    0.000 events.py:65(__init__)
   521671    0.045    0.000    0.045    0.000 {method 'pop' of 'list' objects}
   168507    0.036    0.000    0.036    0.000 emitter.py:459(process_anchor)
        1    0.005    0.005    0.034    0.034 __init__.py:37(<dictcomp>)
   152361    0.032    0.000    0.032    0.000 nodes.py:27(__init__)
   100403    0.030    0.000    0.030    0.000 {built-in method builtins.sorted}
     2930    0.010    0.000    0.029    0.000 parser.py:57(parse_uml_relation)
    17352    0.007    0.000    0.027    0.000 enum.py:686(__call__)
     1532    0.026    0.000    0.026    0.000 {built-in method builtins.print}
      594    0.018    0.000    0.024    0.000 emitter.py:854(write_single_quoted)
   133754    0.023    0.000    0.023    0.000 {method 'join' of 'str' objects}
   168507    0.022    0.000    0.022    0.000 resolver.py:114(ascend_resolver)
   168507    0.020    0.000    0.020    0.000 resolver.py:91(descend_resolver)
    17352    0.016    0.000    0.019    0.000 enum.py:1091(__new__)
    18112    0.005    0.000    0.019    0.000 representer.py:157(represent_bool)
    16058    0.008    0.000    0.017    0.000 emitter.py:388(expect_block_mapping)
    58644    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
     5243    0.003    0.000    0.015    0.000 generator.py:202(get_attr_type_classes)
    16146    0.008    0.000    0.012    0.000 emitter.py:426(check_empty_mapping)
     5243    0.010    0.000    0.011    0.000 generator.py:205(<dictcomp>)
     5860    0.005    0.000    0.009    0.000 parser.py:11(parse_cardinality)
    30082    0.008    0.000    0.008    0.000 parser.py:26(parse_cardinality_val)
    84253    0.008    0.000    0.008    0.000 {method 'keys' of 'dict' objects}
    16146    0.005    0.000    0.005    0.000 events.py:22(__init__)
    16146    0.004    0.000    0.004    0.000 nodes.py:36(__init__)
    16147    0.003    0.000    0.003    0.000 events.py:5(__init__)
    16148    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2047    0.001    0.000    0.002    0.000 representer.py:144(represent_none)
        1    0.000    0.000    0.002    0.002 uml_model.py:164(__init__)
    16146    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     5860    0.001    0.000    0.002    0.000 <string>:1(<lambda>)
     4242    0.001    0.000    0.002    0.000 parser.py:36(parse_iso_datetime_val)
    16146    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    10491    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 uml_model.py:133(__init__)
     8145    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        3    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
        1    0.000    0.000    0.001    0.001 read.py:63(read_uml_classes)
        1    0.000    0.000    0.001    0.001 __init__.py:29(<dictcomp>)
    11945    0.001    0.000    0.001    0.000 {built-in method builtins.next}
     5860    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x783a9a071a40}
        1    0.001    0.001    0.001    0.001 uml_model.py:174(<dictcomp>)
     8145    0.001    0.000    0.001    0.000 enum.py:1180(_missing_)
